,Name,Degree,Specialization,Experience,Location,City,Recommendation,Feedback,Fees
2749,Dr. Sejal Saheta,MBBS,Dermatologist,18,Powai,Mumbai,95,242,900
2750,Dr. Andrea Rebello   (Physiotherapist),MBBS,Physiotherapist,2,Juhu,Mumbai,0,0,1000
2751,Dr. Sangita Chadha   (Physiotherapist),MBBS,Physiotherapist,40,Lokhandwala,Mumbai,97,71,700
2752,Dr. Aditi Mehta   (Physiotherapist),DNB,Physiotherapist,14,Ghatkopar East,Mumbai,99,94,500
2753,Dr. Amir Khan   (Physiotherapist),DNB,Physiotherapist,4,Malad West,Mumbai,10,9,700
2754,Dr. Nikhil N Nale   (Physiotherapist),MD,Physiotherapist,7,Powai,Mumbai,10,3,700
2755,Dr. Rachana Rai   (Physiotherapist),MS,Physiotherapist,20,Andheri East,Mumbai,98,32,500
2756,Dr. Claries Swamy   (Physiotherapist),DNB,Physiotherapist,15,Bandra West,Mumbai,10,4,1000
2757,Dr. Dhwani Shah   (Physiotherapist),MBBS,Physiotherapist,13,Borivali West,Mumbai,10,23,1000
2758,Dr. Vidya Aranha   (Physiotherapist),MS,Physiotherapist,14,Andheri West,Mumbai,10,21,800
2759,Dr. Ushma Bhojani   (Physiotherapist),MS,Physiotherapist,12,Malad West,Mumbai,10,35,1000
2760,Dr. Nitin M Narvekar,MBBS,Infertility Specialist,40,Matunga,Mumbai,10,9,2000
2761,Dr. Maulik Joshi,MBBS,Infertility Specialist,29,Matunga West,Mumbai,10,0,800
2762,Dr. Ashish Shyamkul,MBBS,Infertility Specialist,19,Goregaon,Mumbai,10,1,500
2763,Dr. Devika Chopra,MBBS,Infertility Specialist,16,Tardeo,Mumbai,99,172,1500
2764,Dr. Rachana Kaveri,MBBS,Infertility Specialist,7,Andheri,Mumbai,10,5,800
2765,Dr. Hemashree Patel,MBBS,Infertility Specialist,16,Kandivali West,Mumbai,98,116,1200
2766,Dr. Shyam V Desai,MBBS,Infertility Specialist,45,Malad West,Mumbai,10,0,1200
2767,Dr. Yogesh Trivedi,MBBS,Infertility Specialist,9,Bhandup West,Mumbai,88,10,500
2768,Dr. Miral Patel,MDS,Infertility Specialist,14,Borivali West,Mumbai,10,6,99
2769,Dr. Vrushni Bhuta,BDS,Infertility Specialist,13,Powai,Mumbai,10,41,1300
2770,Dr. Aasif  Yusuf Virani,BDS,Ophthalmologist,15,Mulund West,Mumbai,10,1,1200
2771,Dr. Nimesh Mehta,BDS,Ophthalmologist,27,Borivali West,Mumbai,95,177,850
2772,Dr. Mauli Potdar Shah,BDS,Ophthalmologist,23,Kandivali East,Mumbai,97,19,800
2773,Dr. Alpa Jain,BDS,Ophthalmologist,28,Andheri,Mumbai,99,92,600
2774,Dr. Verdith Hegde,BDS,Ophthalmologist,16,Bhandup,Mumbai,97,111,500
2775,Dr. Anand Subramanyam,BDS,Ophthalmologist,25,Mulund West,Mumbai,10,3,1200
2776,Dr. Hasanain Shikari,BDS,Ophthalmologist,18,Opera House,Mumbai,99,73,1000
2777,Dr. Sanjana.A,BDS,Ophthalmologist,25,Powai,Mumbai,10,14,1100
2778,Dr. Sunita Mohan,MBBS,Ophthalmologist,13,Chembur,Mumbai,10,3,1000
2779,Dr. Kunjal Sejpal,MBBS,Ophthalmologist,20,Dadar,Mumbai,10,42,499
2780,Dr. Shilpa I.G,MBBS,Dentist,15,Singasandra,Bangalore,99,155,300
2781,Dr. Raghavendra K,MBBS,Dentist,25,Rajajinagar,Bangalore,94,31,500
2782,Dr. Konthoujam Sulochana,MBBS,Dentist,12,Murugeshpalya,Bangalore,10,98,300
2783,Dr. Shylesh Shetty,MBBS,Dentist,23,Indiranagar,Bangalore,99,407,1000
2784,Dr. Sujatha Pai B,MS,Dentist,21,Jayanagar 4 Block,Bangalore,97,43,500
2785,Dr. Namratha Umesh,MS,Dentist,23,Sahakaranagar,Bangalore,98,133,500
2786,Dr. Poojitha,MBBS,Dentist,10,Kasturi nagar,Bangalore,96,54,200
2787,Dr. Chandnani Priya,MBBS,Dentist,14,Electronics City,Bangalore,99,51,350
2788,Dr. P Rajesh,MBBS,Dentist,18,JP Nagar,Bangalore,10,26,300
2789,Dr. Sangeeta Khar,MBBS,Dentist,25,Kasturi nagar,Bangalore,96,42,500
2790,Dr. Anitha A Manoj,MBBS,Gynecologist/Obstetrician,15,Banashankari 1st Stage,Bangalore,10,2,500
2791,Dr. Archana Agarwal,MBBS,Gynecologist/Obstetrician,29,Marathahalli,Bangalore,85,202,700
2792,Dr. Bhavani M Hulinayakar,MBBS,Gynecologist/Obstetrician,21,Hebbal,Bangalore,0,0,700
2793,Dr. Saba Fathima,MBBS,Gynecologist/Obstetrician,14,HRBR Layout,Bangalore,90,38,850
2794,Dr. Ranjitha G Babu,MBBS,Gynecologist/Obstetrician,16,Rajajinagar,Bangalore,10,36,600
2795,Dr. Chaitra Gowda K N,MBBS,Gynecologist/Obstetrician,13,Bellandur,Bangalore,99,71,850
2796,Dr. Aparna Patil,MD,Gynecologist/Obstetrician,11,Whitefield,Bangalore,97,47,600
2797,Dr. Vanita Vaishnav,MBBS,Gynecologist/Obstetrician,13,HSR Layout,Bangalore,98,62,600
2798,Dr. Suhasini Inamdar,MBBS,Gynecologist/Obstetrician,37,Indiranagar,Bangalore,97,49,800
2799,Dr. Mukta Nadig,MBBS,Gynecologist/Obstetrician,41,Malleswaram,Bangalore,94,211,850
2800,Dr. Pradeep Kumar,MBBS,Pediatrician,19,Hebbal,Bangalore,96,38,750
2801,Dr. Suneela Nayak,MBBS,Pediatrician,22,Bannerghatta Road,Bangalore,97,32,1100
2802,Dr. Chiranjeevi Y A,MBBS,Pediatrician,11,Yelahanka,Bangalore,10,0,400
2803,Dr. Sharil Hegde P,MBBS,Pediatrician,21,Hebbal,Bangalore,10,1,800
2804,Dr. Suhas Prasad,MBBS,Pediatrician,6,RT Nagar,Bangalore,0,0,300
2805,Dr. Avinash Shanbhogh,MBBS,Pediatrician,16,Sarjapur Road,Bangalore,98,29,750
2806,Dr. Anand Patil,MBBS,Pediatrician,11,Whitefield,Bangalore,0,0,800
2807,Dr. Rujuta Kulkarni,MBBS,Pediatrician,8,HSR Layout,Bangalore,10,10,1200
2808,Dr. Arjun SK,MBBS,Pediatrician,12,Kanakpura Road,Bangalore,99,104,850
2809,Dr. Deepak Ramesh,MBBS,Pediatrician,14,Marathahalli,Bangalore,10,1,850
2810,Dr. Raviraj A,DDVL,Orthopedist,22,Jayanagar,Bangalore,95,84,750
2811,Dr. Ahmed Rayan Jelani,MBBS,Orthopedist,13,Richmond Town,Bangalore,75,3,600
2812,Dr. D J Navinchand,MBBS,Orthopedist,39,Hebbal,Bangalore,71,4,800
2813,Dr. Chidanand K. J. C,MBBS,Orthopedist,20,Banashankari 3rd Stage,Bangalore,93,1,500
2814,Dr. Sanjay Pai,MBBS,Orthopedist,34,Jayanagar,Bangalore,84,17,1000
2815,Dr. Somashekar S,MBBS,Orthopedist,28,Basavanagudi,Bangalore,50,5,650
2816,Dr. Srinivas Nagendra,MBBS,Orthopedist,18,Malleswaram,Bangalore,10,6,500
2817,Dr. Vinoth Arokkia Sekar,MBBS,Orthopedist,14,Sarjapur Road,Bangalore,0,0,650
2818,Dr. Adnan Asif,BPTh/BPT,Orthopedist,6,Koramangala 5 Block,Bangalore,0,0,700
2819,Dr. J. Lakshmikanth,BPTh/BPT,Orthopedist,32,Sarjapur Road,Bangalore,97,25,850
2820,Dr. Seema Srinivasa,Masters,Dermatologist,13,Rajarajeshwarinagar,Bangalore,98,64,600
2821,Dr. Gogineni Deepti Walvekar,BPTh/BPT,Dermatologist,14,Marathahalli,Bangalore,91,44,600
2822,Dr. Ashalatha,BPTh/BPT,Dermatologist,14,Banashankari 3rd Stage,Bangalore,91,37,500
2823,Dr. Mukesh Ramnane,BPTh/BPT,Dermatologist,39,Old Airport Road,Bangalore,74,10,750
2824,Dr. Sowmya M,BPTh/BPT,Dermatologist,15,Sarjapur Road,Bangalore,95,49,700
2825,Dr. Swetha Gowda,BPTh/BPT,Dermatologist,11,Indiranagar,Bangalore,92,60,600
2826,Dr. Safia Tanyeem,BPTh/BPT,Dermatologist,12,Koramangala 5 Block,Bangalore,93,42,700
2827,Dr. Prakruthi,BPTh/BPT,Dermatologist,14,HSR Layout,Bangalore,10,44,600
2828,Dr. Roshan Kumar.B,MBBS,Dermatologist,18,Whitefield,Bangalore,96,24,600
2829,Dr. Hema S,MBBS,Dermatologist,12,Sadashivanagar,Bangalore,97,27,600
2830,Dr. Pooja S.M   (Physiotherapist),MBBS,Physiotherapist,13,Hoodi,Bangalore,10,52,350
2831,Dr. Kiran S Murthy   (Physiotherapist),MBBS,Physiotherapist,25,Banashankari 2nd Stage,Bangalore,97,233,400
2832,Dr. Nice Mathew   (Physiotherapist),MBBS,Physiotherapist,12,MS Palya,Bangalore,98,51,350
2833,Dr. Karthikeyan   (Physiotherapist),MBBS,Physiotherapist,15,Electronics City,Bangalore,99,35,500
2834,Dr. Fiza Taj Samadh   (Physiotherapist),MBBS,Physiotherapist,14,CV Raman Nagar,Bangalore,82,18,300
2835,Dr. Kamalika M Bhattacharya   (Physiotherapist),MS,Physiotherapist,24,Kadubeesanahalli,Bangalore,99,123,500
2836,Dr. Himanshu Vaidya   (Physiotherapist),MBBS,Physiotherapist,17,RMV 2nd Stage,Bangalore,10,25,400
2837,Dr. Sambit Kumar Lenka   (Physiotherapist),MBBS,Physiotherapist,4,Mahadevapura,Bangalore,0,0,500
2838,Dr. Nandita Goswami   (Physiotherapist),MBBS,Physiotherapist,3,Sarjapur Road,Bangalore,10,1,500
2839,Dr. Sudin Maharjan   (Physiotherapist),DO,Physiotherapist,10,Banashankari 3rd Stage,Bangalore,10,1,350
2840,Dr. Sushma,MBBS,Infertility Specialist,12,Basaveshwaranagar,Bangalore,99,49,500
2841,Dr. Yasmin Imdad,MBBS,Infertility Specialist,20,Whitefield,Bangalore,10,51,600
2842,Dr. Shashikala Ksheerasagar,MS,Infertility Specialist,21,Millers Road,Bangalore,10,14,1000
2843,Dr. Harshitha Krishnappa,MBBS,Infertility Specialist,5,Koramangala 5 Block,Bangalore,0,0,650
2844,Dr. Sophia,MBBS,Infertility Specialist,13,Electronics City,Bangalore,94,55,700
2845,Dr. Chaithra S K,MBBS,Infertility Specialist,13,Kalyan Nagar,Bangalore,94,77,550
2846,Dr. Geetha Belliappa,MBBS,Infertility Specialist,31,Bannerghatta Road,Bangalore,95,22,850
2847,Dr. Manjunath C S,MBBS,Infertility Specialist,19,Koramangala,Bangalore,93,53,800
2848,Dr. Parimala Devi,MBBS,Infertility Specialist,37,Bannerghatta Road,Bangalore,73,23,800
2849,Dr. Chandrika P. Kulkarni,MBBS,Infertility Specialist,21,Jayanagar,Bangalore,90,57,850
2850,Dr. NITIN  S SHETTY,MBBS,Ophthalmologist,22,Old Airport Road,Bangalore,97,31,750
2851,Dr. Swati Prasad,MBBS,Ophthalmologist,20,JP Nagar 7 Phase,Bangalore,10,9,500
2852,Dr. Mridula Venugopal,MBBS,Ophthalmologist,10,HSR Layout,Bangalore,10,0,600
2853,Dr. Naveen S K,MBBS,Ophthalmologist,18,Whitefield,Bangalore,0,0,800
2854,Dr. Lavanya Marineni,MBBS,Ophthalmologist,13,Yelahanka New Town,Bangalore,89,9,500
2855,Dr. Dipali Ghanshyam Prabhu,MBBS,Ophthalmologist,19,Whitefield,Bangalore,56,4,800
2856,Dr. Mukta Shrivastava,MBBS,Ophthalmologist,21,Millers Road,Bangalore,10,12,1000
2857,Dr. Bhargavi Pawar,MBBS,Ophthalmologist,14,Kundalahalli,Bangalore,10,5,600
2858,Dr. Mohammed Sadiq,M.D,Ophthalmologist,18,Sarjapur Road,Bangalore,10,0,700
2859,Dr. Ulka G. Bhokare,M.D,Ophthalmologist,16,Kundalahalli,Bangalore,82,5,600
2860,Dr. Deepak K,MBBS,Urologist,1,Padmanabhanagar,Bangalore,0,0,750
2861,Dr. Dilip Dhanpal,MBBS,Urologist,42,HSR Layout,Bangalore,63,13,1000
2862,Dr. Giridhar Venkatesh,MBBS,Urologist,14,Electronics City,Bangalore,10,12,700
2863,Dr. Dilip Jawali,MBBS,Urologist,42,Seshadripuram,Bangalore,33,3,740
2864,Dr. Raghunath S K,MBBS,Urologist,18,Sampangiramnagar,Bangalore,10,7,800
2865,Dr. Nagareddy,MBBS,Urologist,9,Richmond Town,Bangalore,0,0,750
2866,Dr. Nithyananda H A,MBBS,Urologist,12,Kammana Halli,Bangalore,10,0,750
2867,Dr. Sharath C T,MBBS,Urologist,10,Rajajinagar,Bangalore,0,0,350
2868,Dr. Vinay N Kaushik,MBBS,Urologist,12,Sampangiramnagar,Bangalore,0,0,800
2869,Dr. Shreyas Nagaraj,MBBS,Urologist,13,HBR Layout,Bangalore,10,1,800
2870,Dr. Deepthi Saka,MBBS,Psychiatrist,6,Yelahanka,Bangalore,0,0,850
2871,Dr. Vani P,MBBS,Psychiatrist,4,HSR Layout,Bangalore,10,0,1200
2872,Dr. Harsha GT,MD,Psychiatrist,9,Yeshwanthpur,Bangalore,0,0,1000
2873,Dr. Vishukumar H S,MBBS,Psychiatrist,13,Bellandur,Bangalore,0,0,1200
2874,Dr. Anand,MS,Psychiatrist,14,Mahadevapura,Bangalore,0,0,1000
2875,Dr. Srinivas V K,MBBS,Cardiologist,38,Ashoknagar,Bangalore,10,2,800
2876,Dr. Sunil Dwivedi,BDS,Cardiologist,20,Millers Road,Bangalore,92,6,1000
2877,Dr. Divya Marina Fernandes,BDS,Cardiologist,13,JP Nagar,Bangalore,10,2,950
2878,Dr. Sudeep K N,BDS,Cardiologist,12,Seshadripuram,Bangalore,0,0,500
2879,Dr. Saikat Kanjilal,BDS,Cardiologist,19,Sarjapur Road,Bangalore,0,0,900
2880,Dr. K. S. S. Bhat,BDS,Cardiologist,42,Old Airport Road,Bangalore,75,2,900
2881,Dr. Raghavendra Chikkatur,BDS,Cardiologist,22,Kengeri,Bangalore,88,22,700
2882,Dr. Suraj Narasimhan A Rama,BDS,Cardiologist,13,Sarjapur Road,Bangalore,0,0,900
2883,Dr. Sanjay Bhat,BDS,Cardiologist,15,Hebbal,Bangalore,83,26,900
2884,Dr. Sreekanth B. Shetty,BDS,Cardiologist,25,HSR Layout,Bangalore,98,238,700
2885,Dr. Keshav G.C,BDS,Neurosurgeon,10,Kammana Halli,Bangalore,10,1,500
2886,Dr. Shylesh M P,MBBS,Neurosurgeon,8,HBR Layout,Bangalore,0,0,800
2887,Dr. Pratham R,MBBS,Neurosurgeon,9,Kumaraswamy Layout,Bangalore,0,0,900
2888,Dr. Naina Chopra,MBBS,Dentist,16,Ramesh Nagar,Delhi,10,83,600
2889,Dr. Ferah Khanna,MBBS,Dentist,12,Ramesh Nagar,Delhi,10,27,500
2890,Dr. Atul Gupta,MBBS,Dentist,23,Ashok Vihar,Delhi,95,80,1000
2891,Dr. Vijay Tanwar,MBBS,Dentist,10,Chattarpur,Delhi,98,77,500
2892,Dr. Shweta Gupta,MBBS,Dentist,21,Ashok Vihar,Delhi,96,48,1000
2893,Dr. Jyoti C.Bhasin,MBBS,Dentist,23,Vasundhra Enclave,Delhi,99,42,950
2894,Dr. Ashish Bansal,MBBS,Dentist,11,Pitampura,Delhi,10,43,400
2895,Dr. Amit Sagar,MBBS,Dentist,14,Vasant Kunj,Delhi,99,89,700
2896,Dr. Shivesh Mishra,MD,Dentist,10,Preet Vihar,Delhi,98,34,400
2897,Dr. Namrata Sharma,MBBS,Dentist,12,Vasant Kunj,Delhi,10,16,700
2898,Dr. Divya Pandey,MBBS,Gynecologist/Obstetrician,10,Dwarka Sector 19,Delhi,10,42,500
2899,Dr. Jasvinder Kaur,MBBS,Gynecologist/Obstetrician,18,Rohini Sector 3,Delhi,10,21,600
2900,Dr. Gurmeet Bansal,MBBS,Gynecologist/Obstetrician,35,Nehru Place,Delhi,71,3,1500
2901,Dr. Netra Singh,MBBS,Gynecologist/Obstetrician,18,Shalimar Bagh,Delhi,10,2,600
2902,Dr. Anupma Gupta,MBBS,Gynecologist/Obstetrician,23,Pitampura,Delhi,82,7,600
2903,Dr. Sanjida Yasmin,MBBS,Gynecologist/Obstetrician,19,Nehru Place,Delhi,10,76,1000
2904,Dr. Nidhi Bansal Gupta,MD,Gynecologist/Obstetrician,12,Prashant Vihar,Delhi,10,52,600
2905,Dr. Richa Gupta,MBBS,Gynecologist/Obstetrician,14,Dwarka Sector 13,Delhi,92,8,700
2906,Dr. Sarika Gupta,MBBS,Gynecologist/Obstetrician,19,Sarita Vihar,Delhi,10,6,1500
2907,Dr. Dipika Palit,MS,Gynecologist/Obstetrician,15,CR Park,Delhi,10,17,600
2908,Dr. Varun Vij,MBBS,Pediatrician,14,Saket,Delhi,10,0,1000
2909,Dr. Raghuram Mallaiah,MBBS,Pediatrician,28,Greater Kailash Part 2,Delhi,95,9,1200
2910,Dr. Satvinder Kapoor,MBBS,Pediatrician,29,Shalimar Bagh,Delhi,89,6,1000
2911,Dr. Vivek Choudhury,MBBS,Pediatrician,18,Moti Nagar,Delhi,80,11,1200
2912,Dr. Sufla Saxena,MS,Pediatrician,20,Dwarka Sector 6,Delhi,10,10,1100
2913,Dr. Atul Chopra,MBBS,Pediatrician,25,Greater Kailash Part 2,Delhi,10,203,1200
2914,Dr. Parvathi Unninayar Iyer,MBBS,Pediatrician,39,Okhla,Delhi,0,0,1500
2915,Dr. Subhash Agarwal,MBBS,Pediatrician,50,Punjabi Bagh,Delhi,0,0,1500
2916,Dr. Ankur Ohri,MBBS,Pediatrician,9,Malviya Nagar,Delhi,0,0,1300
2917,Dr. Vinay Kumar Rai,MBBS,Pediatrician,15,Dwarka Sector 6,Delhi,10,1,1100
2918,Dr. Yatinder Kharbanda,MBBS,Orthopedist,35,Sarita Vihar,Delhi,10,5,1500
2919,Dr. Nargesh Agrawal,MBBS,Orthopedist,15,Pusa Road,Delhi,10,1,1100
2920,Dr. Ayush Tiwari,MBBS,Orthopedist,8,Malviya Nagar,Delhi,10,4,500
2921,Dr. Kulbhushan Attri,MBBS,Orthopedist,44,Sarita Vihar,Delhi,0,0,1500
2922,Dr. Rakesh Kumar,MD,Orthopedist,22,Karol Bagh,Delhi,0,0,1050
2923,Dr. Ishwar Bohra,MBBS,Orthopedist,22,Pusa Road,Delhi,73,6,1500
2924,Dr. Vibhu Bahl,MBBS,Orthopedist,22,Sarita Vihar,Delhi,10,2,1200
2925,Dr. Akash Sabharwal,MBBS,Orthopedist,16,Panchsheel Park,Delhi,10,0,1500
2926,Dr. Abhijit Tayade,MBBS,Orthopedist,9,Greater Kailash Part 1,Delhi,10,7,1000
2927,Dr. Naresh Agarwal,MBBS,Orthopedist,16,Rohini,Delhi,96,14,800
2928,Dr. Vivek Mehta,MS,Dermatologist,19,East Of Kailash,Delhi,96,190,1500
2929,Dr. Sushil Kumar Chaudhry,MBBS,Dermatologist,42,Safdarjung Enclave,Delhi,80,7,1000
2930,Dr. Indu Ballani,MBBS,Dermatologist,17,Pusa Road,Delhi,91,18,1000
2931,Dr. Shirin Bakshi,MBBS,Dermatologist,5,Safdarjung Enclave,Delhi,10,5,1000
2932,Dr. A.K.Chatterjee,MBBS,Dermatologist,47,Ram Nagar,Delhi,90,7,700
2933,Dr. Ashwini Kedar,MBBS,Dermatologist,17,Old Rajendra Nagar,Delhi,95,23,500
2934,Dr. Lipy Gupta,DNB,Dermatologist,17,Green Park,Delhi,96,314,800
2935,Dr. Jatin Sidhwa,MBBS,Dermatologist,7,Vasant Kunj,Delhi,10,40,800
2936,Dr. Munish Paul,MBBS,Dermatologist,27,Dwarka Sector 6,Delhi,82,48,900
2937,Dr. Vinay Singh,MBBS,Dermatologist,27,Pitampura,Delhi,92,178,1400
2938,Dr. Shilpa Singal,MBBS,Infertility Specialist,8,Dwarka,Delhi,0,0,0
2939,Dr. Loveleena Nadir,MBBS,Infertility Specialist,39,Greater Kailash Part 2,Delhi,95,44,2000
2940,Dr. Rupali Bhatia,MBBS,Infertility Specialist,10,Punjabi Bagh,Delhi,10,1,1000
2941,Dr. Aanchal Agarwal,MBBS,Infertility Specialist,21,Punjabi Bagh,Delhi,10,0,1000
2942,Dr. Gitika Sharma,MBBS,Infertility Specialist,11,Punjabi Bagh,Delhi,0,0,1000
2943,Dr. Raka Guleria,MBBS,Infertility Specialist,34,Greater Kailash Part 2,Delhi,86,8,1500
2944,Dr. Shelly Singh,MBBS,Infertility Specialist,32,Panchsheel Park,Delhi,10,3,1600
2945,Dr. Sushma Dikhit,MBBS,Infertility Specialist,41,Patparganj,Delhi,63,22,1100
2946,Dr. Kiranjeet Kaur,MBBS,Infertility Specialist,25,Saket,Delhi,95,24,1000
2947,Dr. Hirday Kapoor,MBBS,Infertility Specialist,30,Punjabi Bagh,Delhi,78,5,1000
2948,Dr. Vishal Grover,MBBS,Ophthalmologist,32,Greater Kailash Part 2,Delhi,97,485,1200
2949,Dr. Prateek Kakkar,BDS,Ophthalmologist,12,Ashok Vihar Phase 1,Delhi,10,3,600
2950,Dr. Neha Goel,BDS,Ophthalmologist,13,Bali Nagar,Delhi,71,5,600
2951,Dr. Rohit Nanda,BDS,Ophthalmologist,21,Dwarka Sector 12,Delhi,93,30,800
2952,Dr. Mukesh Taneja,BDS,Ophthalmologist,31,Bali Nagar,Delhi,10,4,600
2953,Dr. Varshini Shanker,BDS,Ophthalmologist,20,Neb Sarai,Delhi,96,33,1000
2954,Dr. Sonika Gupta,BDS,Ophthalmologist,23,Panchsheel Park,Delhi,80,4,1000
2955,Dr. Neha Shukla,BDS,Ophthalmologist,16,Vasant Kunj,Delhi,98,28,700
2956,Dr. Vanuli Bajpai,BDS,Ophthalmologist,18,Dwarka Sector 6,Delhi,80,3,900
2957,Dr. Pooja Mehta,BDS,Ophthalmologist,18,East Of Kailash,Delhi,98,14,1000
2958,Dr. Vishal Rastogi,BDS,Cardiologist,25,Okhla,Delhi,80,4,1500
2959,Dr. Devendra Kumar Agrawal,MBBS,Cardiologist,14,Shalimar Bagh,Delhi,10,2,1200
2960,Dr. Vivudh Pratap Singh,MBBS,Cardiologist,19,Okhla,Delhi,0,0,1500
2961,Dr. Husain Harianawala,MBBS,Dentist,13,Lokhandwala,Mumbai,96,50,1000
2962,Dr. Sagar J Abichandani,MBBS,Dentist,13,Chembur,Mumbai,97,8,500
2963,Dr. Rohan Virani,MBBS,Dentist,16,Mulund West,Mumbai,95,145,500
2964,Dr. Jigar Gala,MBBS,Dentist,17,Andheri West,Mumbai,96,84,1000
2965,Dr. Fahad Naaz,MBBS,Dentist,13,Jacob Circle,Mumbai,98,139,500
2966,Dr. Sneha Hukmani Sheth,MBBS,Dentist,14,Ghatkopar East,Mumbai,10,20,500
2967,Dr. Abhishek Modi,MS,Dentist,10,Walkeshwar,Mumbai,10,52,500
2968,Dr. Aditi Varma Arora,MBBS,Dentist,14,Colaba,Mumbai,10,39,800
2969,Dr. Rati Chadha,MBBS,Dentist,14,Bandra West,Mumbai,99,351,500
2970,Dr. Nupur Jhunjhunwala,MD,Dentist,18,Kemps Corner,Mumbai,98,33,1000
2971,Dr. Kirti Shankhdhar,MBBS,Gynecologist/Obstetrician,25,Chembur East,Mumbai,10,11,1000
2972,Dr. Pradnya Rajendra Changede,MBBS,Gynecologist/Obstetrician,17,Chembur,Mumbai,10,17,1200
2973,Dr. Kajal Parikh,DNB,Gynecologist/Obstetrician,8,Gamdevi,Mumbai,10,1,2000
2974,Dr. Alka Kumar,MS,Gynecologist/Obstetrician,32,Mahim,Mumbai,10,3,1800
2975,Dr. Maimoona Ahmed,MBBS,Gynecologist/Obstetrician,11,Malad West,Mumbai,0,0,750
2976,Dr. Sambit M Nanda,MS,Gynecologist/Obstetrician,9,Bandra West,Mumbai,0,0,1000
2977,Dr. Vaishali Shedge,MBBS,Gynecologist/Obstetrician,15,Borivali West,Mumbai,93,17,800
2978,Dr. Shruti Rai,MBBS,Gynecologist/Obstetrician,8,Chembur,Mumbai,10,15,700
2979,Dr. Radhika Sheth,MBBS,Gynecologist/Obstetrician,14,Malad West,Mumbai,10,241,1100
2980,Dr. Reshma Naushad Hussain,MBBS,Gynecologist/Obstetrician,26,Mahim,Mumbai,10,0,1300
2981,Dr. Prashant Abusaria,MBBS,Pediatrician,6,Powai,Mumbai,0,0,1000
2982,Dr. Meetal Dharod,MBBS,Pediatrician,14,Borivali West,Mumbai,0,0,500
2983,Dr. Kamlesh Haria,MS,Pediatrician,22,Mahim,Mumbai,0,0,1300
2984,Dr. Sujit S. Ranjane,Diploma,Pediatrician,13,Borivali West,Mumbai,0,0,700
2985,Dr. Aseem Anoop Barthwal,MD,Pediatrician,14,Borivali East,Mumbai,0,0,800
2986,Dr. Hitesh Kubadia,MBBS,Orthopedist,20,Dadar East,Mumbai,97,132,2000
2987,Dr. Abhay Nene,MBBS,Orthopedist,27,Parel,Mumbai,92,4,4500
2988,Dr. Amyn Rajani,MD,Orthopedist,22,Bandra West,Mumbai,99,291,3000
2989,Dr. Vaibhav B. Kasodekar,MD,Orthopedist,24,Mahim,Mumbai,88,5,1300
2990,Dr. Kishore Manek,MBBS,Orthopedist,40,Chembur East,Mumbai,92,9,1200
2991,Dr. Priyank Patel,MBBS,Orthopedist,13,Tardeo,Mumbai,99,279,3000
2992,Dr. Rakesh Dhake,MBBS,Orthopedist,9,Mahim,Mumbai,10,5,1600
2993,Dr. Nagraj S. Shetty,MBBS,Orthopedist,20,Andheri East,Mumbai,94,5,1500
2994,Dr. Swapneel Shah,BPTh/BPT,Orthopedist,7,Kandivali,Mumbai,10,6,500
2995,Dr. D. Shrinivas,MPTh/MPT,Orthopedist,22,Chembur East,Mumbai,88,17,1000
2996,Dr. Niketa Sonavane,BPTh/BPT,Dermatologist,17,Andheri West,Mumbai,93,199,2500
2997,Dr. Sunil Ghate,Diploma,Dermatologist,22,Chembur East,Mumbai,79,11,1000
2998,Dr. Prasad Wankhede,MPTh/MPT,Dermatologist,14,Worli,Mumbai,98,33,1200
2999,Dr. Manisha Jethava,BPTh/BPT,Dermatologist,8,Mulund West,Mumbai,10,5,900
3000,Dr. Nikita Jadhav,BPTh/BPT,Dermatologist,8,Lal baug,Mumbai,88,15,1200
3001,Dr. Geoffrey Vaz,BPTh/BPT,Dermatologist,10,Versova,Mumbai,10,10,1000
3002,Dr. Uday Khopkar,BPTh/BPT,Dermatologist,38,Parel,Mumbai,95,128,3100
3003,Dr. Joshika Bhandary,BPTh/BPT,Dermatologist,11,Andheri West,Mumbai,10,1,900
3004,Dr. Rajeev Dhir,MBBS,Dermatologist,41,Powai,Mumbai,77,9,1300
3005,Dr. Sayyad Ajara,MBBS,Dermatologist,12,Chembur,Mumbai,10,1,800
3006,Dr. Mitshu Doshi   (Physiotherapist),MS,Physiotherapist,14,Kandivali,Mumbai,97,26,400
3007,Dr. Utsav Shah   (Physiotherapist),MS,Physiotherapist,9,Prabhadevi,Mumbai,10,7,2500
3008,Dr. Relina Peris   (Physiotherapist),MBBS,Physiotherapist,9,Powai,Mumbai,92,9,0
3009,Dr. Akshay Gaurish Wagh   (Physiotherapist),MBBS,Physiotherapist,10,Santacruz West,Mumbai,99,120,2500
3010,Dr. Disha Ashar   (Physiotherapist),MRCOG(UK),Physiotherapist,12,Linking Road,Mumbai,89,5,0
3011,Dr. Rasika M Palekar (Rajpurkar)   (Physiotherapist),MBBS,Physiotherapist,12,Kandivali West,Mumbai,0,0,1000
3012,Dr. Kelly Menezes   (Physiotherapist),MBBS,Physiotherapist,8,Wadala,Mumbai,10,19,1000
3013,Dr. Titiksha Farooqui   (Physiotherapist),MBBS,Physiotherapist,8,Opera House,Mumbai,91,17,600
